x,y,z,directionX,directionY,directionZ,q_magnitude
-0.75,1.25,-0.25,0.337883,-0.426899,0.838804,2.49295e-06
-1.5,0.5,0.5,0.439802,-0.260364,0.859526,1.68298e-06
-1.25,0.75,0.75,0.292765,-0.402984,0.867118,7.54536e-07
-1,0.5,1,0.404938,-0.31224,0.859379,1.47011e-06
-0.75,0.75,1.25,0.278316,-0.3569,0.891719,7.36007e-07
-1.5,1,1,0.450332,-0.275955,0.849146,1.22024e-06
-1.25,1.25,1.25,0.347789,-0.332659,0.876573,5.71637e-07
-1,1,0.5,0.455445,-0.224746,0.861428,2.7245e-06
-0.75,1.25,0.75,0.329147,-0.367512,0.869826,1.14252e-06
-1.5,0.5,1.5,0.397881,-0.345346,0.849957,7.03014e-07
-1,1,1.5,0.411421,-0.308963,0.857482,1.10948e-06
-1.5,1.5,-1.5,0.357419,-0.483098,0.799292,9.83568e-06
-1,1.5,-1,0.410974,-0.285105,0.865919,1.43165e-05
-1.5,1.5,-0.5,0.500416,-0.0303671,0.865253,6.4895e-06
-1,1.5,0,0.492771,-0.118131,0.862103,5.22783e-06
-1.5,1.5,0.5,0.491355,-0.189242,0.850151,2.157e-06
-1,1.5,1,0.465749,-0.237752,0.85238,1.93739e-06
-1.5,1.5,1.5,0.458942,-0.274039,0.845148,9.11864e-07
-0.5,-1.5,-1.5,0.118623,-0.640069,0.759104,1.20315e-05
-0.25,-1.25,-1.25,0.190703,-0.536932,0.821788,3.3202e-06
0,-1.5,-1,0.167778,-0.542698,0.823,1.29205e-05
0.25,-1.25,-0.75,0.116146,-0.616673,0.778604,5.32359e-06
-0.5,-1,-1,0.216104,-0.48378,0.848089,1.18378e-05
-0.25,-0.75,-0.75,0.167107,-0.558493,0.812503,4.8362e-06
0,-1,-1.5,0.166338,-0.601276,0.781536,1.90106e-05
0.25,-0.75,-1.25,0.233697,-0.480279,0.84541,5.29854e-06
-0.5,-1.5,-0.5,0.359277,-0.275211,0.891728,4.41228e-06
-0.25,-1.25,-0.25,0.0822996,-0.607124,0.790334,1.94206e-06
0,-1.5,0,0.297965,-0.371548,0.8793,3.14439e-06
0.25,-1.25,0.25,0.0334487,-0.594606,0.803321,1.59256e-06
-0.5,-1,0,0.348059,-0.317798,0.881963,3.097e-06
-0.25,-0.75,0.25,0.109982,-0.542694,0.832699,1.476e-06
0,-1,-0.5,0.371992,-0.249207,0.894157,7.54571e-06
0.25,-0.75,-0.25,0.124022,-0.568833,0.813048,3.06315e-06
-0.5,-1.5,0.5,0.266544,-0.426547,0.864299,1.39608e-06
-0.25,-1.25,0.75,0.0359777,-0.554393,0.831477,8.119e-07
0,-1.5,1,0.17277,-0.485857,0.856793,1.06791e-06
0.25,-1.25,1.25,-0.0295323,-0.529666,0.847692,6.82021e-07
-0.5,-1,1,0.262809,-0.434574,0.861439,1.08743e-06
-0.25,-0.75,1.25,0.0767448,-0.477633,0.875201,6.56272e-07
0,-1,0.5,0.285453,-0.395544,0.872961,2.32825e-06
0.25,-0.75,0.75,0.06425,-0.518983,0.852367,1.26676e-06
-0.5,-1.5,1.5,0.151555,-0.506835,0.848616,5.39724e-07
0,-1,1.5,0.166905,-0.476572,0.863147,8.6332e-07
-0.5,-0.5,-1.5,0.210512,-0.557309,0.803175,1.62092e-05
-0.25,-0.25,-1.25,0.274686,-0.413014,0.868313,4.67697e-06
0,-0.5,-1,0.256536,-0.441805,0.85965,1.91287e-05
0.25,-0.25,-0.75,0.215245,-0.510665,0.832401,7.60774e-06
-0.5,0,-1,0.298669,-0.393376,0.869513,1.60291e-05
-0.25,0.25,-0.75,0.264487,-0.46272,0.846131,6.31711e-06
0,0,-1.5,0.261238,-0.516132,0.815697,2.51106e-05
0.25,0.25,-1.25,0.319994,-0.350671,0.880133,7.36691e-06
-0.5,-0.5,-0.5,0.402175,-0.196152,0.894304,7.04755e-06
-0.25,-0.25,-0.25,0.185122,-0.520888,0.83331,2.6732e-06
0,-0.5,0,0.36523,-0.287413,0.885438,5.21368e-06
0.25,-0.25,0.25,0.147586,-0.50549,0.850116,2.30523e-06
-0.5,0,0,0.406536,-0.237675,0.882179,4.72058e-06
-0.25,0.25,0.25,0.216975,-0.462792,0.859503,1.95903e-06
0,0,-0.5,0.417313,-0.165337,0.893596,1.18854e-05
0.25,0.25,-0.25,0.231313,-0.480889,0.845719,4.15461e-06
-0.5,-0.5,0.5,0.347009,-0.344408,0.872335,2.23458e-06
-0.25,-0.25,0.75,0.151007,-0.469285,0.870039,1.14592e-06
0,-0.5,1,0.280618,-0.402905,0.871161,1.77411e-06
0.25,-0.25,1.25,0.102465,-0.4414,0.891441,1.0068e-06
-0.5,0,1,0.349743,-0.354359,0.867242,1.67068e-06
-0.25,0.25,1.25,0.19742,-0.39334,0.897947,8.92911e-07
0,0,0.5,0.365557,-0.311542,0.877103,3.69144e-06
0.25,0.25,0.75,0.185464,-0.432346,0.882429,1.76401e-06
-0.5,-0.5,1.5,0.263568,-0.427736,0.864624,8.63115e-07
0,0,1.5,0.279156,-0.396227,0.874686,1.37467e-06
-0.5,0.5,-1.5,0.299063,-0.489443,0.81915,1.95508e-05
-0.25,0.75,-1.25,0.362225,-0.291504,0.885335,5.98322e-06
0,0.5,-1,0.340636,-0.348623,0.873172,2.54143e-05
0.25,0.75,-0.75,0.316174,-0.411882,0.854627,9.77173e-06
-0.5,1,-1,0.377508,-0.312171,0.871801,1.96108e-05
-0.25,1.25,-0.75,0.36364,-0.377747,0.851512,7.46857e-06
0,1,-1.5,0.351384,-0.447494,0.822362,2.94702e-05
0.25,1.25,-1.25,0.408993,-0.224212,0.884564,9.28767e-06
-0.5,0.5,-0.5,0.445526,-0.115554,0.88778,1.02448e-05
-0.25,0.75,-0.25,0.287371,-0.446867,0.847188,3.32549e-06
0,0.5,0,0.425392,-0.203396,0.881857,7.83979e-06
0.25,0.75,0.25,0.259337,-0.424957,0.867269,3.00631e-06
-0.5,1,0,0.460665,-0.158207,0.873361,6.57484e-06
-0.25,1.25,0.25,0.320905,-0.397006,0.859887,2.35355e-06
0,1,-0.5,0.464244,-0.0793507,0.882145,1.70111e-05
0.25,1.25,-0.25,0.337034,-0.406515,0.849208,5.06068e-06
-0.5,0.5,0.5,0.414354,-0.265106,0.870649,3.27023e-06
-0.25,0.75,0.75,0.262624,-0.393169,0.881162,1.46801e-06
0,0.5,1,0.367809,-0.320155,0.87305,2.69914e-06
0.25,0.75,1.25,0.230398,-0.35641,0.905477,1.34461e-06
-0.5,1,1,0.421504,-0.275912,0.863832,2.35551e-06
-0.25,1.25,1.25,0.313111,-0.319732,0.894278,1.10135e-06
0,1,0.5,0.434319,-0.228234,0.871364,5.32589e-06
0.25,1.25,0.75,0.302449,-0.356307,0.884064,2.20983e-06
-0.5,0.5,1.5,0.353157,-0.349407,0.867868,1.27626e-06
0,1,1.5,0.370134,-0.314475,0.874132,2.00911e-06
-0.5,1.5,-1.5,0.381843,-0.441506,0.811953,2.10941e-05
0,1.5,-1,0.420526,-0.263877,0.868059,3.03589e-05
-0.5,1.5,-0.5,0.491654,-0.0340076,0.870126,1.36656e-05
0,1.5,0,0.482216,-0.118928,0.867942,1.07321e-05
-0.5,1.5,0.5,0.474128,-0.186335,0.860512,4.38569e-06
0,1.5,1,0.441295,-0.236908,0.865525,3.74463e-06
-0.5,1.5,1.5,0.427376,-0.270881,0.862539,1.73562e-06
0.5,-1.5,-1.5,0.114737,-0.657327,0.744819,2.04416e-05
0.75,-1.25,-1.25,0.193058,-0.552786,0.810652,5.50021e-06
1,-1.5,-1,0.15413,-0.567943,0.808508,2.12886e-05
1.25,-1.25,-0.75,0.107182,-0.635433,0.764681,8.48757e-06
0.5,-1,-1,0.209295,-0.500903,0.839817,2.10857e-05
0.75,-0.75,-0.75,0.163782,-0.569459,0.805538,8.42328e-06
1,-1,-1.5,0.166567,-0.616572,0.769477,3.22138e-05
1.25,-0.75,-1.25,0.240176,-0.490911,0.83745,8.74288e-06
0.5,-1.5,-0.5,0.339023,-0.305524,0.889786,7.49006e-06
0.75,-1.25,-0.25,0.0556095,-0.625834,0.777971,3.21802e-06
1,-1.5,0,0.259443,-0.3997,0.879164,5.07726e-06
