x,y,z,directionX,directionY,directionZ,q_magnitude
-0.75,1.25,-1.25,0.111097,0.033709,-0.993238,1.1918e-06
-1.5,0.5,-0.5,0.270927,-0.432901,-0.859765,5.23523e-06
-1.25,0.75,-0.25,0.390986,0.269997,-0.879904,3.80947e-06
-1,0.5,0,0.331183,-0.480413,-0.812109,1.72111e-05
-0.75,0.75,0.25,0.439993,0.296155,-0.847761,1.10021e-05
-1.5,1,0,0.168397,-0.542802,-0.822805,1.016e-05
-1.25,1.25,0.25,0.419474,0.252305,-0.872,7.16944e-06
-1,1,-0.5,0.273425,-0.427317,-0.861765,7.32112e-06
-0.75,1.25,-0.25,0.343527,0.221171,-0.912728,5.33641e-06
-1.5,0.5,0.5,0.158443,-0.630508,-0.759839,2.72706e-05
-1.25,0.75,0.75,0.456741,0.241679,-0.856142,2.05784e-05
-1,0.5,1,0.415169,-0.215815,-0.883775,8.23805e-05
-0.75,0.75,1.25,0.453887,0.0525182,-0.88951,4.06198e-05
-1.5,1,1,0.276344,-0.263103,-0.924343,5.11227e-05
-1.25,1.25,1.25,0.389041,0.0394135,-0.920377,2.72565e-05
-1,1,0.5,0.217644,-0.58924,-0.778092,3.86679e-05
-0.75,1.25,0.75,0.417045,0.164782,-0.893823,2.77799e-05
-1.5,0.5,1.5,0.401173,-0.075453,-0.912889,8.48666e-05
-1,1,1.5,0.408222,-0.0998156,-0.907409,0.000125349
-1.5,1.5,-1.5,0.141022,-0.336163,-0.931186,1.33902e-06
-1,1.5,-1,0.179657,-0.399877,-0.898789,3.15059e-06
-1.5,1.5,-0.5,0.169511,-0.465357,-0.86874,4.49627e-06
-1,1.5,0,0.196877,-0.531418,-0.823914,1.46412e-05
-1.5,1.5,0.5,0.00892484,-0.622578,-0.782507,2.32042e-05
-1,1.5,1,0.297,-0.270682,-0.915709,7.3964e-05
-1.5,1.5,1.5,0.29602,-0.109858,-0.948843,7.93538e-05
-0.5,-1.5,-1.5,0.201247,-0.278204,-0.939203,1.98603e-06
-0.25,-1.25,-1.25,-0.0808508,0.294635,-0.952183,8.32461e-07
0,-1.5,-1,0.501756,-0.200058,-0.841557,5.57333e-06
0.25,-1.25,-0.75,0.0801851,0.573208,-0.815477,2.02089e-06
-0.5,-1,-1,0.383476,-0.246241,-0.890119,5.14793e-06
-0.25,-0.75,-0.75,0.181005,0.413933,-0.89213,2.58337e-06
0,-1,-1.5,0.174748,-0.360565,-0.916218,1.77084e-06
0.25,-0.75,-1.25,-0.291689,0.273169,-0.916677,6.76984e-07
-0.5,-1.5,-0.5,0.568821,-0.211355,-0.794841,1.36098e-05
-0.25,-1.25,-0.25,0.355275,0.554105,-0.752826,6.62638e-06
0,-1.5,0,0.689061,-0.147599,-0.709513,5.26224e-05
0.25,-1.25,0.25,0.460547,0.562402,-0.686732,1.99167e-05
-0.5,-1,0,0.590394,-0.28521,-0.755044,3.39428e-05
-0.25,-0.75,0.25,0.475763,0.488644,-0.731353,1.80799e-05
0,-1,-0.5,0.576868,-0.197564,-0.792586,1.71754e-05
0.25,-0.75,-0.25,0.300112,0.535075,-0.789701,6.98144e-06
-0.5,-1.5,0.5,0.664006,-0.312504,-0.679292,8.98183e-05
-0.25,-1.25,0.75,0.602806,0.41829,-0.679454,5.26266e-05
0,-1.5,1,0.715405,0.0867389,-0.693305,0.000251636
0.25,-1.25,1.25,0.685097,0.17947,-0.705998,9.70113e-05
-0.5,-1,1,0.649364,-0.0320767,-0.759801,0.000149261
-0.25,-0.75,1.25,0.630458,0.133764,-0.764611,6.67655e-05
0,-1,0.5,0.673439,-0.230374,-0.70243,0.000145377
0.25,-0.75,0.75,0.571975,0.370609,-0.731774,7.38988e-05
-0.5,-1.5,1.5,0.693152,0.170786,-0.700266,0.000216996
0,-1,1.5,0.674481,0.149286,-0.723041,0.000319193
-0.5,-0.5,-1.5,0.116591,-0.318854,-0.940605,2.00514e-06
-0.25,-0.25,-1.25,-0.0562406,0.167513,-0.984264,1.02645e-06
0,-0.5,-1,0.388563,-0.295501,-0.872753,5.38498e-06
0.25,-0.25,-0.75,0.0759871,0.392748,-0.916502,2.33134e-06
-0.5,0,-1,0.292102,-0.314685,-0.903133,4.78555e-06
-0.25,0.25,-0.75,0.171958,0.282798,-0.94364,2.79978e-06
0,0,-1.5,0.063573,-0.459373,-0.885965,1.72054e-06
0.25,0.25,-1.25,-0.250356,0.0763895,-0.965135,7.95628e-07
-0.5,-0.5,-0.5,0.470878,-0.28241,-0.835774,1.27543e-05
-0.25,-0.25,-0.25,0.33846,0.428586,-0.83771,7.19881e-06
0,-0.5,0,0.593532,-0.248843,-0.765373,4.86188e-05
0.25,-0.25,0.25,0.433553,0.443931,-0.784192,2.09249e-05
-0.5,0,0,0.47827,-0.374167,-0.794517,2.97957e-05
-0.25,0.25,0.25,0.444502,0.365634,-0.817759,1.7175e-05
0,0,-0.5,0.47214,-0.303778,-0.827528,1.54755e-05
0.25,0.25,-0.25,0.276589,0.38957,-0.878484,7.09948e-06
-0.5,-0.5,0.5,0.546488,-0.404001,-0.733576,7.9445e-05
-0.25,-0.25,0.75,0.548245,0.311381,-0.776189,4.99828e-05
0,-0.5,1,0.635205,-0.014652,-0.772205,0.000240646
0.25,-0.25,1.25,0.604754,0.085127,-0.79185,9.45606e-05
-0.5,0,1,0.542686,-0.117198,-0.831719,0.000137199
-0.25,0.25,1.25,0.526981,0.0403191,-0.84892,5.95877e-05
0,0,0.5,0.564295,-0.344077,-0.750455,0.000125449
0.25,0.25,0.75,0.512858,0.257621,-0.818906,6.93233e-05
-0.5,-0.5,1.5,0.613814,0.048423,-0.787964,0.000214802
0,0,1.5,0.597016,0.044761,-0.80098,0.000309866
-0.5,0.5,-1.5,0.0516107,-0.380926,-0.923164,1.83185e-06
-0.25,0.75,-1.25,-0.041551,0.0569672,-0.997511,1.09339e-06
0,0.5,-1,0.278912,-0.408641,-0.869034,4.75573e-06
0.25,0.75,-0.75,0.0636881,0.226465,-0.971935,2.36629e-06
-0.5,1,-1,0.207022,-0.399615,-0.893,4.07549e-06
-0.25,1.25,-0.75,0.161837,0.160449,-0.973686,2.66996e-06
0,1,-1.5,-0.0197446,-0.556031,-0.830927,1.521e-06
0.25,1.25,-1.25,-0.211389,-0.0812187,-0.974022,8.14607e-07
-0.5,0.5,-0.5,0.367841,-0.370532,-0.852877,1.11444e-05
-0.25,0.75,-0.25,0.314288,0.297491,-0.901511,6.90108e-06
0,0.5,0,0.481138,-0.364593,-0.797232,4.13967e-05
0.25,0.75,0.25,0.39823,0.312978,-0.86224,1.93176e-05
-0.5,1,0,0.351497,-0.465112,-0.812478,2.52185e-05
-0.25,1.25,0.25,0.402631,0.239205,-0.883555,1.52229e-05
0,1,-0.5,0.359067,-0.422549,-0.83218,1.28863e-05
0.25,1.25,-0.25,0.250243,0.247529,-0.936006,6.46532e-06
-0.5,0.5,0.5,0.40728,-0.49374,-0.768338,6.76645e-05
-0.25,0.75,0.75,0.477008,0.195085,-0.856975,4.40346e-05
0,0.5,1,0.532707,-0.126028,-0.836863,0.000208709
0.25,0.75,1.25,0.505408,-0.0279276,-0.862428,8.07482e-05
-0.5,1,1,0.423245,-0.212361,-0.880776,0.000121267
-0.25,1.25,1.25,0.414718,-0.0723639,-0.907068,5.08134e-05
0,1,0.5,0.429128,-0.46432,-0.774762,0.00010331
0.25,1.25,0.75,0.445956,0.129136,-0.88569,5.77057e-05
-0.5,0.5,1.5,0.509795,-0.0452346,-0.859106,0.000198262
0,1,1.5,0.498766,-0.0741241,-0.863561,0.000265608
-0.5,1.5,-1.5,0.00142263,-0.445874,-0.895094,1.51195e-06
0,1.5,-1,0.174795,-0.520227,-0.835949,3.84595e-06
-0.5,1.5,-0.5,0.255089,-0.463778,-0.848434,9.11542e-06
0,1.5,0,0.350123,-0.483315,-0.802384,3.33817e-05
-0.5,1.5,0.5,0.259459,-0.568709,-0.780545,5.71783e-05
0,1.5,1,0.417727,-0.248863,-0.873826,0.000175931
-0.5,1.5,1.5,0.405016,-0.151631,-0.901648,0.000173651
0.5,-1.5,-1.5,0.436361,-0.288065,-0.852413,1.44565e-06
0.75,-1.25,-1.25,-0.409483,0.70603,-0.577794,4.51656e-07
1,-1.5,-1,0.749177,0.0167938,-0.662157,7.01582e-06
1.25,-1.25,-0.75,0.232158,0.836724,-0.495979,2.35316e-06
0.5,-1,-1,0.577131,-0.195812,-0.792828,5.95611e-06
0.75,-0.75,-0.75,0.0758618,0.618396,-0.782197,1.88451e-06
1,-1,-1.5,0.746807,-0.196185,-0.635445,1.4298e-06
1.25,-0.75,-1.25,-0.075502,0.950299,-0.302045,4.17272e-07
0.5,-1.5,-0.5,0.692531,-0.0715161,-0.717835,2.18923e-05
0.75,-1.25,-0.25,0.322001,0.665087,-0.673777,6.8727e-06
1,-1.5,0,0.739892,0.0137517,-0.672585,9.1511e-05
1.25,-1.25,0.25,0.496272,0.564785,-0.659342,2.78404e-05
0.5,-1,0,0.684563,-0.113458,-0.72007,7.20271e-05
0.75,-0.75,0.25,0.454989,0.515323,-0.726241,2.27223e-05
1,-1,-0.5,0.712097,-0.0369349,-0.701109,2.70543e-05
1.25,-0.75,-0.25,0.384836,0.626713,-0.677593,8.29226e-06
0.5,-1.5,0.5,0.741048,-0.0688878,-0.667909,0.000225633
0.75,-1.25,0.75,0.609466,0.394587,-0.687643,8.79497e-05
1,-1.5,1,0.699748,0.181025,-0.691073,0.000441397
1.25,-1.25,1.25,0.679657,0.126347,-0.722567,0.000125745
0.5,-1,1,0.687789,0.0938461,-0.719819,0.000399211
0.75,-0.75,1.25,0.652918,0.116206,-0.748461,0.000120995
1,-1,0.5,0.705854,-0.0602145,-0.705794,0.000285414
1.25,-0.75,0.75,0.594114,0.317731,-0.738969,0.000104845
0.5,-1.5,1.5,0.670593,0.336755,-0.660985,0.000380121
1,-1,1.5,0.631117,0.304791,-0.713298,0.000418787
0.5,-0.5,-1.5,0.288324,-0.490973,-0.82208,1.45284e-06
0.75,-0.25,-1.25,-0.446839,0.276599,-0.850781,4.53609e-07
1,-0.5,-1,0.688669,-0.160909,-0.706996,6.81002e-06
1.25,-0.25,-0.75,0.241504,0.63794,-0.731238,1.95486e-06
0.5,0,-1,0.462413,-0.357462,-0.811416,5.44903e-06
0.75,0.25,-0.75,0.0499351,0.367785,-0.928569,1.89827e-06
1,0,-1.5,0.621606,-0.526823,-0.579711,1.4156e-06
1.25,0.25,-1.25,-0.124033,0.3802,-0.91655,2.405e-07
0.5,-0.5,-0.5,0.60362,-0.19426,-0.773244,2.08048e-05
0.75,-0.25,-0.25,0.298043,0.50802,-0.808138,6.9467e-06
1,-0.5,0,0.672414,-0.0998919,-0.733404,9.09333e-05
1.25,-0.25,0.25,0.4709,0.443725,-0.76247,2.57366e-05
0.5,0,0,0.594419,-0.237116,-0.768402,6.47128e-05
0.75,0.25,0.25,0.415992,0.380096,-0.826122,2.06677e-05
1,0,-0.5,0.638118,-0.18542,-0.747278,2.49634e-05
1.25,0.25,-0.25,0.368968,0.44997,-0.813259,7.23624e-06
0.5,-0.5,0.5,0.660345,-0.180743,-0.728887,0.000214609
0.75,-0.25,0.75,0.55615,0.281431,-0.781981,8.04172e-05
1,-0.5,1,0.648877,0.0672949,-0.757912,0.000486949
1.25,-0.25,1.25,0.612386,0.0189937,-0.790331,0.000129693
0.5,0,1,0.612542,-0.0358021,-0.789627,0.000360142
0.75,0.25,1.25,0.567728,0.00204293,-0.823214,0.000102926
1,0,0.5,0.631513,-0.176488,-0.755012,0.000274035
1.25,0.25,0.75,0.546189,0.1842,-0.817158,9.26164e-05
0.5,-0.5,1.5,0.650915,0.147635,-0.744657,0.000450272
1,0,1.5,0.59276,0.160919,-0.789139,0.000430979
